next_turn,move_count,last_move_player,last_move_position,line_counts_competitor_4,line_counts_competitor_5,line_counts_player_4,line_counts_player_5,base_value,shap_sum,predicted_class,actual_class,expected_value
-7.904721553246101e-11,-7.793993672677857e-09,2.3149671415922946e-11,2.085926099094452e-10,5.845625372646879e-11,1.1053998572966665e-10,1.102337908454043e-10,1.103216996922729e-11,,-7.351036406614183e-09,0,0,0.32229377485109595
2.338712556948508e-10,-1.443572715068934e-10,1.8865800125814994e-10,7.253197510196744e-10,-2.83468276629506e-10,2.949339716317353e-11,6.059508566210366e-11,3.425157148647292e-11,,8.443635141480258e-10,2,2,0.36727823905365176
9.46634673426594e-10,2.2876825434003933e-11,2.6792311656291073e-10,3.060184281903725e-11,2.3204241768789064e-11,1.5662483809908423e-10,1.3049505688996396e-10,3.1513234151810586e-11,,1.6098738291521937e-09,2,1,0.36727823905365176
4.371031517060494e-11,1.130360943735198e-09,1.111250929238435e-10,-5.054516805103049e-10,-1.3272680547219788e-09,1.5910397189548378e-10,-1.8877168578290693e-10,1.641592440685772e-10,,-4.1303185322148337e-10,2,2,0.36727823905365176
-2.3468601252167137e-10,1.6687348159833322e-09,-1.2336689309000448e-10,2.0881801295347577e-09,4.883077044566994e-10,2.766197826353789e-10,1.9518968964275332e-10,1.92643104412737e-10,,4.551622321053983e-09,1,2,0.31042798609525285
2.629652282963117e-11,5.3278205921121945e-11,-8.835741050853645e-11,-2.3593050545630173e-10,2.6978038321819514e-10,-9.144059728155574e-11,7.473317971407045e-11,-7.649456791371707e-11,,-6.81347894770923e-11,1,0,0.31042798609525285
-3.936232439531266e-10,1.4787170793395532e-10,-1.167139394390541e-10,-1.840327668034547e-09,2.991691847957038e-10,1.2643188810705178e-10,-8.49164835670102e-12,1.6282683650466664e-10,,-1.6228568824420515e-09,1,1,0.31042798609525285
1.496725081836144e-11,-7.75292089786698e-09,-1.1429468323743512e-10,1.3908750771488934e-10,5.2523319027386606e-11,1.481475925731631e-10,-7.440879278471553e-11,1.7912801392646246e-10,,-7.407770689828868e-09,0,0,0.32229377485109595
-3.509209589580564e-11,1.32317609184233e-09,-1.1217594098981525e-10,-1.1330545633680966e-09,3.6906688353581057e-10,2.317278810966735e-10,-5.9897502253965e-10,1.0741283961816321e-10,,1.5208607329960977e-10,1,1,0.31042798609525285
-6.090431862541361e-11,1.5124199612600215e-09,4.348749138571861e-11,-1.07318102321452e-10,1.0487686182466167e-10,6.978325556294962e-11,-8.733377424019473e-10,1.9848660786440006e-10,,8.874940145489385e-10,1,1,0.31042798609525285
-2.586890979205947e-10,1.068572903194694e-09,-3.4833629036779e-12,-4.3437315318713604e-10,-7.182431501403148e-11,-1.0798430552516614e-10,3.808963821433364e-11,-1.8197473157973338e-09,,-1.5894390089389123e-09,1,2,0.31042798609525285
